time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.725553	0.616577	7.08043	-2.32655e-17	-5.97597e-18	radar	74.3749	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.15302	0.504034	7.0895	-0.12748	-0.0153249	lidar	0.331971	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.27269	0.515228	7.08227	0.125526	0.0317583	radar	1.7867	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61455	0.585023	7.09627	0.209291	0.0545477	lidar	0.242331	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.82238	0.566971	6.26695	0.0785604	-0.0741177	radar	4.56057	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.15144	0.610249	6.28008	0.0955667	-0.041044	lidar	0.193989	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.3681	0.641835	5.59661	0.0842559	-0.214766	radar	7.39528	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.64731	0.664159	5.5991	0.073709	-0.215055	lidar	0.00394613	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.91434	0.654835	5.51616	0.0185092	-0.406492	radar	0.483067	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15018	0.652415	5.47357	0.00407346	-0.377914	lidar	1.0862	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.43769	0.545282	5.50799	-0.156696	-0.854626	radar	1.48755	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74272	0.430911	5.5807	-0.285377	-1.1161	lidar	2.23666	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02215	0.516359	5.54335	-0.141828	-0.557116	radar	4.04805	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29638	0.50802	5.52587	-0.135868	-0.473858	lidar	0.338896	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.55613	0.5446	5.43696	-0.0937406	-0.327799	radar	1.94566	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.74308	0.654356	5.2642	0.0130469	-0.063859	lidar	12.4073	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.99512	0.653068	5.19571	0.00406789	-0.0753955	radar	1.79979	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.29666	0.648171	5.25264	-0.00616197	-0.0886889	lidar	2.61883	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
